"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","disease_prevalence_class","disease_prevalence_geo_area","disease_prevalence_type","disease_inheritance","numCTsupportingAssociation","numPMIDs","chemsIncludedInEvidenceBySource","numChemsIncludedInEvidences","numPMIDSWithChemsIncludedInEvidences","numNCTSWithChemsIncludedInEvidences","score","yearInitial","yearFinal","evidence_level","evidence_index","diseaseid"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Dural ectasia","[phenotype]","C1851712","","Finding (T033)","","Abnormality of the nervous system (00707)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C1851712"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Generalized arterial tortuosity","[phenotype]","C1836651","","Finding (T033)","","Abnormality of the cardiovascular system (01626)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C1836651"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Generalized hypotonia","[phenotype]","C1858120","Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Finding (T033)","","Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C1858120"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Paranoid Schizophrenia","[disease]","C0036349","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,1,"C0036349"
"RARS1",5917,"ENSG00000113643","protein-coding",0.575,0.87,1.1477e-16,"P54136","","","Other sphingolipidosis","[disease]","C0348489","Nutritional and Metabolic Diseases (C18)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7) | disease of metabolism (0014667) | syndrome (225)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0348489"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Severe myopia","[disease]","C0271183","Eye Diseases (C11)","Disease or Syndrome (T047)","","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0271183"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E","[disease]","C3148763","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10) | Musculoskeletal Diseases (C05)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C3148763"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Nyctalopia","[disease]","C0028077","Eye Diseases (C11)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the eye (00478)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0028077"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Lymphoid neoplasm (morphologic abnormality)","[disease]","C0598798","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,1,"C0598798"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Lower eyelid ectropion","[disease]","C0521736","Eye Diseases (C11)","Disease or Syndrome (T047)","","Abnormality of head or neck (00152)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0521736"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Long narrow head","[disease]","C0221358","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Musculoskeletal Diseases (C05)","Congenital Abnormality (T019)","","Abnormality of head or neck (00152) | Abnormality of the musculoskeletal system (33127)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0221358"
"KCNN3",3782,"ENSG00000143603","protein-coding",0.52,0.913,0.99999,"Q9UGI6","DTO_01300327","Ion channel","Chronic paranoid schizophrenia","[disease]","C0270398","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,1,"C0270398"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Congenital hernia of foramen of Bochdalek","[disease]","C0265700","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Pathological Conditions, Signs and Symptoms (C23)","Congenital Abnormality (T019)","","","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0265700"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Prostatic Neoplasms","[disease]","C0033578","Urogenital Diseases (C12) | Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,0,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"C0033578"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Crigler Najjar syndrome, type 2","[disease]","C2931132","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","","","","Autosomal recessive",0,57,NA,NA,NA,NA,0.4,1984,2018,NA,1,"C2931132"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Crigler Najjar syndrome, type 2","[disease]","C2931132","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","","","","Autosomal recessive",0,57,NA,NA,NA,NA,0.4,1984,2018,NA,1,"C2931132"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Lucey-Driscoll syndrome (disorder)","[disease]","C0270210","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nutritional and Metabolic Diseases (C18) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","Not yet documented","Worldwide","Point prevalence","",0,42,NA,NA,NA,NA,0.4,1990,2015,NA,1,"C0270210"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","Lucey-Driscoll syndrome (disorder)","[disease]","C0270210","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nutritional and Metabolic Diseases (C18) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","Not yet documented","Worldwide","Point prevalence","",0,42,NA,NA,NA,NA,0.4,1990,2015,NA,1,"C0270210"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","BILIRUBIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1","[phenotype]","C1866173","","Finding (T033)","","","","","","",0,30,NA,NA,NA,NA,0.4,1990,2013,NA,1,"C1866173"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","BILIRUBIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1","[phenotype]","C1866173","","Finding (T033)","","","","","","",0,30,NA,NA,NA,NA,0.4,1990,2013,NA,1,"C1866173"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Crigler Najjar syndrome, type 1","[disease]","C0010324","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of metabolism (0014667) | genetic disease (630)","","","","","Autosomal recessive",0,23,NA,NA,NA,NA,0.4,1990,2015,NA,1,"C0010324"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Crigler-Najjar syndrome","[disease]","C5551003","Nutritional and Metabolic Diseases (C18) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","","","1-9 / 1 000 000,1-9 / 100 000","Europe,Europe","Prevalence at birth,Point prevalence","Autosomal recessive",0,11,NA,NA,NA,NA,0.4,1992,2015,NA,1,"C5551003"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","ovarian neoplasm","[disease]","C0919267","Urogenital Diseases (C12) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the genitourinary system (00119) | Neoplasm (02664)","","","","",0,6,NA,NA,NA,NA,0.4,1994,2019,NA,1,"C0919267"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Early myoclonic encephalopathy","[disease]","C0270855","Nervous System Diseases (C10)","Disease or Syndrome (T047)","","","","","","",0,6,NA,NA,NA,NA,0.4,2012,2020,NA,1,"C0270855"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","Intellectual Disability","[disease]","C3714756","Mental Disorders (F03) | Pathological Conditions, Signs and Symptoms (C23) | Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10)","Mental or Behavioral Dysfunction (T048)","","Abnormality of the nervous system (00707)","","","","",0,4,NA,NA,NA,NA,0.4,2011,2021,NA,1,"C3714756"
"DNAJB6",10049,"ENSG00000105993","protein-coding",0.562,0.826,0.00076341,"O75190","","","PARKINSON DISEASE, LATE-ONSET","[disease]","C3160718","","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,3,NA,NA,NA,NA,0.4,1993,2011,NA,1,"C3160718"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Non-specific syndromic intellectual disability","[disease]","C5568766","Behavior and Behavior Mechanisms (F01) | Nervous System Diseases (C10) | Pathological Conditions, Signs and Symptoms (C23) | Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","Autosomal dominant,Autosomal recessive,X-linked recessive",0,3,NA,NA,NA,NA,0.4,2016,2020,"Limited",1,"C5568766"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","GILBERT SYNDROME, SUSCEPTIBILITY TO","[phenotype]","C4016425","","Finding (T033)","","","","","","",0,2,NA,NA,NA,NA,0.4,2002,2004,NA,1,"C4016425"
"UGT1A10",54575,"ENSG00000242515","protein-coding",0.624,0.652,1.6232e-17,"Q9HAW8","","","GILBERT SYNDROME, SUSCEPTIBILITY TO","[phenotype]","C4016425","","Finding (T033)","","","","","","",0,2,NA,NA,NA,NA,0.4,2002,2004,NA,1,"C4016425"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Charcot-Marie-Tooth Disease","[disease]","C0007959","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","1-5 / 10 000,1-5 / 10 000,1-9 / 100 000,1-5 / 10 000,1-5 / 10 000,1-5 / 10 000,1-9 / 100 000","Spain,Italy,Denmark,Iceland,Japan,Cyprus,Serbia","Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence","Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive",0,2,NA,NA,NA,NA,0.4,2009,2014,NA,1,"C0007959"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Hypertrophic, Familial","[disease]","C0949658","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,2,NA,NA,NA,NA,0.4,1993,2003,NA,1,"C0949658"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Familial or idiopathic dilated cardiomyopathy","[disease]","C5679590","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","","","1-9 / 100 000,1-5 / 10 000,1-9 / 100 000","Europe,Europe,United States","Annual incidence,Point prevalence,Annual incidence","Autosomal dominant,Autosomal recessive,Mitochondrial inheritance,X-linked recessive",0,2,NA,NA,NA,NA,0.4,1993,2009,NA,1,"C5679590"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Hyperalgesia","[phenotype]","C0020429","Pathological Conditions, Signs and Symptoms (C23) | Nervous System Diseases (C10)","Sign or Symptom (T184)","","Abnormality of the nervous system (00707)","","","","",0,2,NA,NA,NA,NA,0.4,2009,2016,NA,1,"C0020429"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Diarrheal disorder","[disease]","C1290807","Pathological Conditions, Signs and Symptoms (C23) | Digestive System Diseases (C06)","Disease or Syndrome (T047)","","","","","","",0,1,NA,NA,NA,NA,0.4,2010,2010,NA,1,"C1290807"
"SYT1",6857,"ENSG00000067715","protein-coding",0.526,0.913,0.99999,"P21579","DTO_05007405","Transporter","Cocaine dependence","[disease]","C0600427","Mental Disorders (F03) | Chemically-Induced Disorders (C25)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0600427"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","Peripheral Neuropathy","[disease]","C0031117","Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2015,2015,NA,1,"C0031117"
"SYT1",6857,"ENSG00000067715","protein-coding",0.526,0.913,0.99999,"P21579","DTO_05007405","Transporter","Cocaine-Related Disorders","[disease]","C0236736","Mental Disorders (F03) | Chemically-Induced Disorders (C25)","Mental or Behavioral Dysfunction (T048)","","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0236736"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","Abnormal peripheral nervous system morphology","[disease]","C4025831","","Anatomical Abnormality (T190)","","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2015,2015,NA,1,"C4025831"
"KLRC4",8302,"ENSG00000183542","protein-coding",0.606,0.783,0.10803,"O43908","","","Agranulocytosis","[disease]","C0001824","Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","physical disorder (0080015) | disease of anatomical entity (7)","Abnormality of blood and blood-forming tissues (01871) | Abnormality of the immune system (02715)","","","","",0,1,NA,NA,NA,NA,0.4,2024,2024,NA,1,"C0001824"
"HCP5",10866,"ENSG00000206337","ncRNA",0.432,0.87,NA,"","","","Drug Allergy","[phenotype]","C0013182","Chemically-Induced Disorders (C25)","Pathologic Function (T046)","","","","","","",0,1,NA,NA,NA,NA,0.4,2015,2015,NA,1,"C0013182"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Neuropathy, Hereditary Sensory And Autonomic, Type IIA","[disease]","C2752089","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,1993,1993,NA,1,"C2752089"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","PROSTATE CANCER, SOMATIC","[disease]","C4015779","","Neoplastic Process (T191)","","","","","","",0,1,NA,NA,NA,NA,0.4,2001,2001,NA,1,"C4015779"
"ARAP1",116985,"ENSG00000186635","protein-coding",0.639,0.609,1.0276e-06,"Q96P48","","","Autistic Disorder","[disease]","C0004352","Mental Disorders (F03)","Mental or Behavioral Dysfunction (T048)","disease of mental health (150)","Abnormality of the nervous system (00707)","","","","",0,1,NA,NA,NA,NA,0.4,2021,2021,NA,1,"C0004352"
"SYT1",6857,"ENSG00000067715","protein-coding",0.526,0.913,0.99999,"P21579","DTO_05007405","Transporter","Rare genetic syndromic intellectual disability","[disease]","C5680525","","Disease or Syndrome (T047)","","","","","","",0,1,NA,NA,NA,NA,0.4,2018,2018,NA,1,"C5680525"
"TTC21A",199223,"ENSG00000168026","protein-coding",0.681,0.565,4.2204e-32,"Q8NDW8","","","Oligospermia","[disease]","C0028960","Urogenital Diseases (C12)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0028960"
"TTC21A",199223,"ENSG00000168026","protein-coding",0.681,0.565,4.2204e-32,"Q8NDW8","","","Teratozoospermia","[disease]","C0403824","Urogenital Diseases (C12)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the genitourinary system (00119)","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0403824"
"RETREG1",54463,"ENSG00000154153","protein-coding",0.581,0.696,3.7806e-05,"Q9H6L5","","","Spastic Paraplegia, Hereditary","[disease]","C0037773","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000,1-9 / 100 000","Europe,Spain,Portugal,Worldwide,Tunisia,Norway,Italy,Estonia,Libyan Arab Jamahiriya","Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence,Point prevalence","Autosomal dominant,Autosomal recessive,X-linked recessive",0,1,NA,NA,NA,NA,0.4,1993,1993,NA,1,"C0037773"
"RRAS2",22800,"ENSG00000133818","protein-coding",0.509,0.87,0.030991,"P62070","DTO_05007584","Enzyme modulator","RASopathy","[disease]","C5555857","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C5555857"
"UGT1A8",54576,"ENSG00000242366","protein-coding",0.639,0.609,1.0698e-11,"Q9HAW9","","","Increased bilirubin level (finding)","[phenotype]","C0311468","","Finding (T033)","","Abnormality of metabolism/homeostasis (01939)","","","","",0,1,NA,NA,NA,NA,0.4,2008,2008,NA,1,"C0311468"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Telomere maintenance 2-related intellectual disability, neurodevelopmental disorder (disorder)","[disease]","C4310778","Nervous System Diseases (C10) | Mental Disorders (F03) | Behavior and Behavior Mechanisms (F01) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","","","<1 / 1 000 000","Worldwide","Point prevalence","Autosomal recessive",0,1,NA,NA,NA,NA,0.4,2020,2020,NA,1,"C4310778"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","Pure gonadal dysgenesis 46,XX","[disease]","C0685837","Urogenital Diseases (C12) | Endocrine System Diseases (C19) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Congenital Abnormality (T019)","","","","","","",0,1,NA,NA,NA,NA,0.4,2017,2017,"Supportive",1,"C0685837"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Hereditary Prostate Carcinoma","[disease]","C4722328","","Neoplastic Process (T191)","","","","","","",0,1,NA,NA,NA,NA,0.4,2022,2022,"Limited",1,"C4722328"
"TTC21A",199223,"ENSG00000168026","protein-coding",0.681,0.565,4.2204e-32,"Q8NDW8","","","Congenital impairment of spermatozoa motility","[disease]","C0403811","Urogenital Diseases (C12) | Endocrine System Diseases (C19)","Disease or Syndrome (T047)","","","","","","Autosomal recessive",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C0403811"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Central Nervous System Germinoma","[disease]","C1333813","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","Not applicable",0,1,NA,NA,NA,NA,0.4,2014,2014,NA,1,"C1333813"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","B-ALL with t(9;22)(q34.1;q11.2)","[disease]","C5680319","","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","Not applicable",0,1,NA,NA,NA,NA,0.4,2013,2013,NA,1,"C5680319"
"SPIDR",23514,"ENSG00000164808","protein-coding",0.646,0.783,9.7061e-20,"Q14159","","","Gonadal Dysgenesis, 46,XX","[disease]","C0949595","Urogenital Diseases (C12) | Endocrine System Diseases (C19) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Congenital Abnormality (T019)","genetic disease (630) | disease of anatomical entity (7)","","","","","Autosomal dominant,Autosomal recessive,Not applicable,X-linked recessive",0,1,NA,NA,NA,NA,0.4,2017,2017,NA,1,"C0949595"
"FAM83D",81610,"ENSG00000101447","protein-coding",0.658,0.478,3.3088e-11,"Q9H4H8","","","Primary Glioblastoma","[disease]","C1514422","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2022,2022,NA,1,"C1514422"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Juvenile Chronic Polyarthritis","[disease]","C0409667","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0409667"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Mitral and aortic incompetence","[disease]","C0264774","Cardiovascular Diseases (C14)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2011,2011,NA,1,"C0264774"
"JMJD1C",221037,"ENSG00000171988","protein-coding",0.49,0.913,1,"Q15652","","","Acute polyarticular juvenile rheumatoid arthritis","[disease]","C0157916","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157916"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Malignant neoplasm of body of pancreas","[disease]","C0153459","Digestive System Diseases (C06) | Endocrine System Diseases (C19) | Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0153459"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Trigeminal Neuralgia","[disease]","C0040997","Stomatognathic Diseases (C07) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","disease of anatomical entity (7)","Abnormality of the nervous system (00707) | Constitutional symptom (25142)","1-9 / 100 000,1-9 / 100 000","United States,United Kingdom","Annual incidence,Annual incidence","Not applicable",0,1,NA,NA,NA,NA,0.4,2016,2016,NA,1,"C0040997"
"LOX",4015,"ENSG00000113083","protein-coding",0.408,0.913,0.97953,"P28300","","","Neoplasms, Bone Tissue","[disease]","C0206639","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2013,2013,NA,1,"C0206639"
"MICA",100507436,"ENSG00000204520","protein-coding",0.405,0.913,0.0031713,"Q29983","","","Oral submucosal fibrosis, including of tongue","[disease]","C0029171","","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2006,2006,NA,1,"C0029171"
"CAD",790,"ENSG00000084774","protein-coding",0.574,0.826,1,"P27708","DTO_05007624","Enzyme","beta Thalassemia","[disease]","C0005283","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Hemic and Lymphatic Diseases (C15)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","1-9 / 100 000,1-9 / 1 000 000,1-5 / 10 000","Worldwide,France,Europe","Annual incidence,Point prevalence,Annual incidence","Autosomal dominant,Autosomal recessive",0,1,NA,NA,NA,NA,0.4,1979,1979,NA,1,"C0005283"
"MAD1L1",8379,"ENSG00000002822","protein-coding",0.507,0.913,4.0532e-33,"Q9Y6D9","","","Monoarticular juvenile rheumatoid arthritis","[disease]","C0157918","Immune System Diseases (C20) | Musculoskeletal Diseases (C05) | Skin and Connective Tissue Diseases (C17)","Disease or Syndrome (T047)","disease of anatomical entity (7)","","","","","",0,1,NA,NA,NA,NA,0.4,2009,2009,NA,1,"C0157918"
"FAM83D",81610,"ENSG00000101447","protein-coding",0.658,0.478,3.3088e-11,"Q9H4H8","","","Adult Glioblastoma","[disease]","C0278878","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2022,2022,NA,1,"C0278878"
"PRMT5",10419,"ENSG00000100462","protein-coding",0.486,0.87,1,"O14744","DTO_05007378","Epigenetic regulator","Localized Primitive Neuroectodermal Tumor","[disease]","C1334410","Neoplasms (C04)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2019,2019,NA,1,"C1334410"
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","Epithelioma","[disease]","C1368683","Neoplasms (C04)","Neoplastic Process (T191)","disease of cellular proliferation (14566)","","","","","",0,1,NA,NA,NA,NA,0.4,2002,2002,NA,1,"C1368683"
"COPS3",8533,"ENSG00000141030","protein-coding",0.688,0.609,0.99999,"Q9UNS2","DTO_05007584","Enzyme modulator","Hepatomegaly","[phenotype]","C0019209","Digestive System Diseases (C06) | Pathological Conditions, Signs and Symptoms (C23)","Finding (T033)","","Abnormality of the digestive system (25031)","","","","",0,1,NA,NA,NA,NA,0.4,2017,2017,NA,1,"C0019209"
